date,tt,rh,pp,ws,wd,sr,rr
2024-01-02 07:20:00+00,32.03,65.14,991.3981,1.383,243.0,488.7,0.0
2024-01-02 07:30:00+00,32.08,66.19,991.321,0.931,207.2,493.1,0.0
2024-01-02 07:40:00+00,31.89,65.22,991.177,1.189,190.5,515.4,0.0
2024-01-02 07:50:00+00,31.96,64.51,991.1386,1.695,174.6,513.1,0.0
2024-01-02 08:00:00+00,31.89,63.85,991.0488,0.965,190.1,511.5,0.0
2024-01-02 08:10:00+00,31.97,63.6,990.9689,1.35,164.8,455.6,0.0
2024-01-02 08:20:00+00,32.12,63.7,990.8964,0.605,192.2,409.5,0.0
2024-01-02 08:30:00+00,31.92,65.13,990.7482,1.228,192.7,401.5,0.0
2024-01-02 08:40:00+00,32.07,64.25,990.6518,0.802,144.1,406.3,0.0
2024-01-02 08:50:00+00,31.78,64.82,990.6974,1.37,194.4,377.5,0.0
2024-01-02 09:00:00+00,31.76,65.76,990.666,1.034,225.7,213.9,0.0
2024-01-02 09:10:00+00,31.48,66.64,990.7728,1.06,173.6,171.9,0.0
2024-01-02 09:20:00+00,31.19,66.88,990.9369,0.85,185.2,156.1,0.0
2024-01-02 09:30:00+00,31.09,66.21,991.0594,0.863,171.3,134.9,0.0
2024-01-02 09:40:00+00,30.92,67.67,991.1019,0.742,235.9,117.2,0.0
2024-01-02 09:50:00+00,30.67,67.97,991.1706,0.472,196.4,102.3,0.0
2024-01-02 10:00:00+00,30.46,68.28,991.3182,0.673,271.3,88.3,0.0
2024-01-02 10:10:00+00,30.43,68.22,991.4374,0.461,179.5,71.34,0.0
2024-01-02 10:20:00+00,30.26,69.79,991.3978,0.402,184.9,50.33,0.0
2024-01-02 10:30:00+00,29.95,72.66,991.5964,0.285,144.6,32.24,0.0
2024-01-02 10:40:00+00,29.71,73.73,991.7239,0.436,175.6,17.2,0.0
2024-01-02 10:50:00+00,29.48,74.34,991.9391,0.735,193.3,7.785,0.0
2024-01-02 11:00:00+00,29.12,76.57,992.0568,0.775,174.0,1.451,0.0
2024-01-02 11:10:00+00,28.87,78.82,992.2244,0.615,170.1,0.0,0.0
2024-01-02 11:20:00+00,28.68,80.2,992.5018,1.166,177.7,0.0,0.0
2024-01-02 11:30:00+00,28.5,81.5,992.7728,1.004,185.0,0.0,0.0
2024-01-02 11:40:00+00,28.27,82.1,992.8441,0.501,213.5,0.0,0.0
2024-01-02 11:50:00+00,28.05,83.5,993.0735,0.951,170.7,0.0,0.0
2024-01-02 12:00:00+00,27.84,84.7,993.3247,0.262,152.5,0.0,0.0
2024-01-02 12:10:00+00,27.67,85.6,993.5158,0.439,161.2,0.0,0.0
2024-01-02 12:20:00+00,27.58,86.7,993.9354,0.057,120.4,0.0,0.0
2024-01-02 12:30:00+00,27.49,87.1,994.0143,0.0,143.7,0.0,0.0
2024-01-02 12:40:00+00,27.49,87.1,994.1932,0.499,258.0,0.0,0.0
2024-01-02 12:50:00+00,27.51,87.1,994.2475,0.605,287.6,0.0,0.0
2024-01-02 13:00:00+00,27.45,87.7,994.2707,0.635,284.0,0.0,0.0
2024-01-02 13:10:00+00,27.35,88.3,994.5062,0.436,251.0,0.0,0.0
2024-01-02 13:20:00+00,27.31,88.7,994.6818,0.808,251.1,0.0,0.0
2024-01-02 13:30:00+00,27.31,88.9,994.8766,0.975,274.6,0.0,0.0
2024-01-02 13:40:00+00,27.34,88.8,994.8394,0.95,294.3,0.0,0.0
2024-01-02 13:50:00+00,27.25,89.1,994.8423,0.571,292.2,0.0,0.0
2024-01-02 14:00:00+00,27.16,89.8,995.0646,0.428,250.3,0.0,0.0
2024-01-02 14:10:00+00,27.2,89.6,995.1247,0.285,249.0,0.0,0.0
2024-01-02 14:20:00+00,27.21,89.7,994.9821,0.29,242.6,0.0,0.0
2024-01-02 14:30:00+00,27.22,89.6,994.8947,0.276,229.5,0.0,0.0
2024-01-02 14:40:00+00,27.19,89.6,994.9182,0.477,273.1,0.0,0.0
2024-01-02 14:50:00+00,27.25,89.5,994.8517,0.031,128.3,0.0,0.0
2024-01-02 15:00:00+00,27.22,90.0,994.9671,0.477,283.9,0.0,0.0
2024-01-02 15:10:00+00,27.18,89.9,995.1636,0.423,284.5,0.0,0.0
2024-01-02 15:20:00+00,27.27,89.6,995.1126,0.342,291.2,0.0,0.0
2024-01-02 15:30:00+00,27.23,89.8,994.9775,0.2,244.2,0.0,0.0
2024-01-02 15:40:00+00,27.2,90.0,994.9394,0.209,128.2,0.0,0.0
2024-01-02 15:50:00+00,27.21,89.9,994.9072,0.242,293.1,0.0,0.0
2024-01-02 16:00:00+00,27.17,90.4,994.8919,0.23,165.7,0.0,0.0
2024-01-02 16:10:00+00,27.19,90.0,994.7301,0.077,174.8,0.0,0.0
2024-01-02 16:20:00+00,27.15,90.5,994.721,0.096,228.7,0.0,0.0
2024-01-02 16:30:00+00,27.1,90.4,994.8199,0.015,75.53,0.0,0.0
2024-01-02 16:40:00+00,27.1,90.5,994.62,0.0,118.4,0.0,0.0
2024-01-02 16:50:00+00,27.08,90.6,994.5922,0.08,137.7,0.0,0.0
2024-01-02 17:00:00+00,27.08,90.4,994.6059,0.048,65.28,0.0,0.0
2024-01-02 17:10:00+00,27.13,89.8,994.6034,0.029,78.7,0.0,0.0
2024-01-02 17:20:00+00,27.16,89.8,994.4788,0.158,69.93,0.0,0.0
2024-01-02 17:30:00+00,27.15,89.9,994.2658,0.0,89.9,0.0,0.0
2024-01-02 17:40:00+00,27.14,90.0,994.0078,0.0,79.91,0.0,0.0
2024-01-02 17:50:00+00,27.08,90.3,993.8214,0.132,68.79,0.0,0.0
2024-01-02 18:00:00+00,27.08,89.9,993.6043,0.0,154.0,0.0,0.0
2024-01-02 18:10:00+00,27.03,90.7,993.3307,0.0,189.9,0.0,0.0
2024-01-02 18:20:00+00,26.87,91.1,993.2959,0.215,174.4,0.0,0.0
2024-01-02 18:30:00+00,26.82,91.9,993.3125,0.0,146.2,0.0,0.0
2024-01-02 18:40:00+00,26.84,92.0,993.2877,0.158,251.9,0.0,0.0
2024-01-02 18:50:00+00,26.87,91.3,993.2203,0.041,148.5,0.0,0.0
2024-01-02 19:00:00+00,26.86,90.9,993.2113,0.0,71.82,0.0,0.0
2024-01-02 19:10:00+00,26.85,91.1,993.2434,0.035,103.5,0.0,0.0
2024-01-02 19:20:00+00,26.82,90.8,993.2222,0.03,192.9,0.0,0.0
2024-01-02 19:30:00+00,26.78,91.2,993.1842,0.04,168.2,0.0,0.0
2024-01-02 19:40:00+00,26.72,91.5,993.1433,0.48,309.8,0.0,0.0
2024-01-02 19:50:00+00,26.74,92.5,993.1342,0.506,313.7,0.0,0.0
2024-01-02 20:00:00+00,26.68,93.2,993.2264,0.156,225.6,0.0,0.0
2024-01-02 20:10:00+00,26.78,92.7,993.2702,0.497,230.2,0.0,0.0
2024-01-02 20:20:00+00,26.81,92.5,993.1659,0.536,273.7,0.0,0.0
2024-01-02 20:30:00+00,26.84,92.5,993.0598,0.53,222.0,0.0,0.0
2024-01-02 20:40:00+00,26.81,92.7,992.9538,0.791,303.8,0.0,0.0
2024-01-02 20:50:00+00,26.71,92.9,992.8894,0.437,154.4,0.0,0.0
2024-01-02 21:00:00+00,26.61,93.1,992.9142,0.144,233.1,0.0,0.0
2024-01-02 21:10:00+00,26.62,92.6,992.9801,0.431,298.1,0.0,0.0
2024-01-02 21:20:00+00,26.53,92.7,993.0829,0.381,308.7,0.0,0.0
2024-01-02 21:30:00+00,26.51,92.4,993.2398,0.06,275.3,0.0,0.0
2024-01-02 21:40:00+00,26.44,92.1,993.214,0.0,276.2,0.0,0.0
2024-01-02 21:50:00+00,26.33,93.2,993.1668,0.0,139.7,0.0,0.0
2024-01-02 22:00:00+00,26.19,93.9,993.215,0.0,32.43,0.0,0.0
2024-01-02 22:10:00+00,26.1,93.9,993.1677,0.0,134.4,0.0,0.0
