date,tt,rh,pp,ws,wd,sr,rr
2024-01-02 11:30:00+00,29.3,78.71,999.3994,0.341,213.0,0.0,0.0
2024-01-02 11:40:00+00,29.3,78.56,999.5944,0.397,187.2,0.0,0.0
2024-01-02 11:50:00+00,29.16,79.27,999.8439,0.568,126.5,0.0,0.0
2024-01-02 12:00:00+00,29.26,79.35,1000.072,0.544,150.8,0.0,0.0
2024-01-02 12:10:00+00,29.09,80.2,1000.19,0.398,230.8,0.0,0.0
2024-01-02 12:20:00+00,28.99,81.1,1000.4,0.184,206.9,0.0,0.0
2024-01-02 12:30:00+00,28.81,82.3,1000.692,0.128,179.9,0.0,0.0
2024-01-02 12:40:00+00,28.77,82.8,1000.792,0.173,235.2,0.0,0.0
2024-01-02 12:50:00+00,28.94,82.0,1001.016,0.717,267.0,0.0,0.0
2024-01-02 13:00:00+00,29.01,82.3,1001.158,0.358,192.0,0.0,0.0
2024-01-02 13:10:00+00,28.96,82.9,1001.26,0.12,121.8,0.0,0.0
2024-01-02 13:20:00+00,28.84,83.8,1001.52,0.207,212.7,0.0,0.0
2024-01-02 13:30:00+00,28.75,84.3,1001.602,0.222,234.5,0.0,0.0
2024-01-02 13:40:00+00,28.77,84.0,1001.496,0.409,218.5,0.0,0.0
2024-01-02 13:50:00+00,28.75,84.5,1001.536,0.13,178.1,0.0,0.0
2024-01-02 14:00:00+00,28.67,85.1,1001.567,0.082,203.6,0.0,0.0
2024-01-02 14:10:00+00,28.53,86.0,1001.461,0.301,218.8,0.0,0.0
2024-01-02 14:20:00+00,28.48,85.6,1001.623,0.41,251.6,0.0,0.0
2024-01-02 14:30:00+00,28.35,85.5,1001.781,0.081,210.4,0.0,0.0
2024-01-02 14:40:00+00,28.21,85.5,1001.877,0.0,198.2,0.0,0.0
2024-01-02 14:50:00+00,28.05,86.1,1001.891,0.015,228.1,0.0,0.0
2024-01-02 15:00:00+00,27.88,86.0,1002.0,0.014,173.0,0.0,0.0
2024-01-02 15:10:00+00,27.81,85.8,1001.93,0.0,173.1,0.0,0.0
2024-01-02 15:20:00+00,27.66,86.9,1001.913,0.0,172.6,0.0,0.0
2024-01-02 15:30:00+00,27.39,88.2,1001.859,0.0,162.8,0.0,0.0
2024-01-02 15:40:00+00,27.38,88.1,1001.856,0.0,193.0,0.0,0.0
2024-01-02 15:50:00+00,27.26,89.0,1001.711,0.026,134.5,0.0,0.0
2024-01-02 16:00:00+00,27.19,89.2,1001.768,0.0,75.99,0.0,0.0
2024-01-02 16:10:00+00,27.06,90.2,1001.804,0.0,159.1,0.0,0.0
2024-01-02 16:20:00+00,27.03,90.1,1001.807,0.041,126.4,0.0,0.0
2024-01-02 16:30:00+00,27.26,88.7,1001.792,0.016,147.5,0.0,0.0
2024-01-02 16:40:00+00,27.27,88.6,1001.661,0.022,157.3,0.0,0.0
2024-01-02 16:50:00+00,27.1,89.3,1001.515,0.0,178.7,0.0,0.0
2024-01-02 17:00:00+00,27.02,90.2,1001.268,0.0,162.9,0.0,0.0
2024-01-02 17:10:00+00,26.97,90.2,1000.989,0.149,227.3,0.0,0.0
2024-01-02 17:20:00+00,27.06,89.7,1000.999,0.0,99.6,0.0,0.0
2024-01-02 17:30:00+00,27.19,88.9,1001.141,0.0,130.6,0.0,0.0
2024-01-02 17:40:00+00,27.27,89.3,1000.899,0.0,156.4,0.0,0.0
2024-01-02 17:50:00+00,27.14,89.4,1000.598,0.0,163.9,0.0,0.0
2024-01-02 18:00:00+00,27.09,89.3,1000.462,0.0,146.0,0.0,0.0
2024-01-02 18:10:00+00,27.19,88.5,1000.518,0.473,275.2,0.0,0.0
2024-01-02 18:20:00+00,27.29,87.3,1000.472,1.243,283.5,0.0,0.0
2024-01-02 18:30:00+00,26.41,89.4,1000.469,1.514,284.4,0.0,0.0
2024-01-02 18:40:00+00,25.35,92.4,1000.373,1.267,250.6,0.0,2.6
2024-01-02 18:50:00+00,24.76,94.7,1000.453,1.26,284.1,0.0,2.6
2024-01-02 19:00:00+00,24.6,95.6,1000.413,0.786,229.9,0.0,6.8
2024-01-02 19:10:00+00,24.52,96.3,1000.346,0.374,176.7,0.0,0.8
2024-01-02 19:20:00+00,24.4,96.5,1000.143,1.348,291.9,0.0,6.4
2024-01-02 19:30:00+00,24.42,96.8,999.8619,0.866,260.5,0.0,2.4
2024-01-02 19:40:00+00,24.57,97.0,999.765,0.035,238.9,0.0,0.0
2024-01-02 19:50:00+00,24.5,97.0,999.8414,0.0,133.9,0.0,0.0
2024-01-02 20:00:00+00,24.39,96.8,999.653,0.0,200.3,0.0,0.0
2024-01-02 20:10:00+00,24.28,96.7,999.6525,0.029,139.1,0.0,0.0
2024-01-02 20:20:00+00,24.3,96.6,999.6539,0.021,125.3,0.0,0.2
2024-01-02 20:30:00+00,24.4,96.7,999.6659,0.0,249.6,0.0,0.0
2024-01-02 20:40:00+00,24.36,96.8,999.5019,0.032,249.7,0.0,0.0
2024-01-02 20:50:00+00,24.48,97.0,999.7079,0.031,74.02,0.0,0.0
2024-01-02 21:00:00+00,24.53,97.1,999.8544,0.0,42.49,0.0,0.0
2024-01-02 21:10:00+00,24.6,97.2,999.9435,0.011,148.1,0.0,0.2
2024-01-02 21:20:00+00,24.63,97.2,999.9805,0.0,153.2,0.0,0.0
2024-01-02 21:30:00+00,24.67,97.3,1000.2,0.0,72.91,0.0,0.0
2024-01-02 21:40:00+00,24.7,97.3,1000.194,0.0,48.14,0.0,0.0
2024-01-02 21:50:00+00,24.71,97.3,1000.051,0.0,248.7,0.0,0.0
2024-01-02 22:00:00+00,24.76,97.3,1000.195,0.0,152.3,0.0,0.0
2024-01-02 22:10:00+00,24.8,97.4,1000.478,0.0,81.9,0.0,0.0
2024-01-02 22:20:00+00,24.86,97.4,1000.499,0.0,160.6,0.0,0.0
2024-01-02 22:30:00+00,24.81,97.3,1000.646,0.0,95.4,0.0,0.0
2024-01-02 22:40:00+00,24.81,97.2,1000.751,0.011,139.3,0.0,0.0
2024-01-02 22:50:00+00,24.92,97.1,1000.779,0.0,175.7,0.0,0.2
2024-01-02 23:00:00+00,24.95,97.1,1000.945,0.118,112.8,0.0,0.0
2024-01-02 23:10:00+00,24.94,96.8,1001.16,0.139,110.9,0.0,1.0
2024-01-02 23:20:00+00,24.95,96.6,1001.274,0.05,128.4,0.136,1.0
2024-01-02 23:30:00+00,24.93,96.6,1001.421,0.0,117.5,0.584,0.6
2024-01-02 23:40:00+00,24.93,96.8,1001.483,0.0,151.0,1.158,0.8
2024-01-02 23:50:00+00,24.97,96.9,1001.391,0.0,182.5,1.795,0.8
2024-01-03 00:00:00+00,24.94,97.0,1001.387,0.0,100.6,2.585,0.6
2024-01-03 00:10:00+00,24.87,97.0,1001.614,0.018,111.4,3.803,0.6
2024-01-03 00:20:00+00,24.85,96.9,1002.006,0.0,80.4,5.28,0.4
2024-01-03 00:30:00+00,24.91,97.0,1002.395,0.0,25.47,6.174,0.4
2024-01-03 00:40:00+00,24.98,97.1,1002.645,0.0,63.08,7.691,0.4
2024-01-03 00:50:00+00,25.02,97.2,1002.823,0.0,131.4,9.59,0.8
2024-01-03 01:00:00+00,25.01,97.2,1002.908,0.0,144.0,11.42,0.6
